kanji,back,tags
自,<b>Meanings:</b> oneself<br><br><b>On'yomi:</b> ジ; シ<br><br><b>Kun'yomi:</b> みずか.ら; おの.ずから; おの.ずと<br><br><b>Name readings:</b> より<br><br><b>Stats:</b> Strokes: 6 | Radical: 132 | Freq: #19<br><br><b>Heisig:</b> RTK: #36 | RTK6: #36,grade2
室,<b>Meanings:</b> room; apartment; chamber; greenhouse; cellar<br><br><b>On'yomi:</b> シツ<br><br><b>Kun'yomi:</b> むろ<br><br><b>Stats:</b> Strokes: 9 | Radical: 40 | Freq: #550<br><br><b>Heisig:</b> RTK: #754 | RTK6: #816,grade2
質,<b>Meanings:</b> substance; quality; matter; temperament<br><br><b>On'yomi:</b> シツ; シチ; チ<br><br><b>Kun'yomi:</b> たち; ただ.す; もと; わりふ<br><br><b>Stats:</b> Strokes: 15 | Radical: 154 | Freq: #389<br><br><b>Heisig:</b> RTK: #1137 | RTK6: #1219,grade5
写,<b>Meanings:</b> copy; be photographed; describe<br><br><b>On'yomi:</b> シャ; ジャ<br><br><b>Kun'yomi:</b> うつ.す; うつ.る; うつ-; うつ.し<br><br><b>Stats:</b> Strokes: 5 | Radical: 14 | Freq: #453<br><br><b>Heisig:</b> RTK: #1247 | RTK6: #1336,grade3
者,<b>Meanings:</b> someone; person<br><br><b>On'yomi:</b> シャ<br><br><b>Kun'yomi:</b> もの<br><br><b>Stats:</b> Strokes: 8 | Radical: 125 | Freq: #38<br><br><b>Heisig:</b> RTK: #1256 | RTK6: #1345,grade3
借,<b>Meanings:</b> borrow; rent<br><br><b>On'yomi:</b> シャク<br><br><b>Kun'yomi:</b> か.りる<br><br><b>Stats:</b> Strokes: 10 | Radical: 9 | Freq: #932<br><br><b>Heisig:</b> RTK: #1186 | RTK6: #1270,grade4
弱,<b>Meanings:</b> weak; frail<br><br><b>On'yomi:</b> ジャク<br><br><b>Kun'yomi:</b> よわ.い; よわ.る; よわ.まる; よわ.める<br><br><b>Stats:</b> Strokes: 10 | Radical: 57 | Freq: #958<br><br><b>Heisig:</b> RTK: #1236 | RTK6: #1323,grade2
主,<b>Meanings:</b> lord; chief; master; main thing; principal<br><br><b>On'yomi:</b> シュ; ス; シュウ<br><br><b>Kun'yomi:</b> ぬし; おも; あるじ<br><br><b>Name readings:</b> かず; ず; もん<br><br><b>Stats:</b> Strokes: 5 | Radical: 3 | Freq: #95<br><br><b>Heisig:</b> RTK: #266 | RTK6: #284,grade3
首,<b>Meanings:</b> neck; counter for songs and poems<br><br><b>On'yomi:</b> シュ<br><br><b>Kun'yomi:</b> くび<br><br><b>Name readings:</b> おびと; こべ; す<br><br><b>Stats:</b> Strokes: 9 | Radical: 185 | Freq: #98<br><br><b>Heisig:</b> RTK: #70 | RTK6: #74,grade2
秋,<b>Meanings:</b> autumn<br><br><b>On'yomi:</b> シュウ<br><br><b>Kun'yomi:</b> あき; とき<br><br><b>Name readings:</b> あい<br><br><b>Stats:</b> Strokes: 9 | Radical: 115 | Freq: #635<br><br><b>Heisig:</b> RTK: #900 | RTK6: #966,grade2
