kanji,back,tags
縁,<b>Meanings:</b> affinity; relation; connection; edge; border; verge; brink<br><br><b>On'yomi:</b> エン; -ネン<br><br><b>Kun'yomi:</b> ふち; ふち.どる; ゆかり; よすが; へり; えにし<br><br><b>Stats:</b> Strokes: 15 | Radical: 120 | Freq: #1291<br><br><b>Heisig:</b> RTK: #1372 | RTK6: #1472,grade8
艶,<b>Meanings:</b> glossy; luster; glaze; polish; charm; colorful; captivating<br><br><b>On'yomi:</b> エン<br><br><b>Kun'yomi:</b> つや; なま.めかしい; あで.やか; つや.めく; なま.めく<br><br><b>Name readings:</b> もろ; よし<br><br><b>Stats:</b> Strokes: 19 | Radical: 139 | Freq: #2207<br><br><b>Heisig:</b> RTK: #1755 | RTK6: #1892,grade8
苑,<b>Meanings:</b> garden; farm; park<br><br><b>On'yomi:</b> エン; オン<br><br><b>Kun'yomi:</b> その; う.つ<br><br><b>Name readings:</b> あや<br><br><b>Stats:</b> Strokes: 8 | Radical: 140 | Freq: #2060<br><br><b>Heisig:</b> RTK: #1419 | RTK6: #1523,grade9
鉛,<b>Meanings:</b> lead<br><br><b>On'yomi:</b> エン<br><br><b>Kun'yomi:</b> なまり<br><br><b>Stats:</b> Strokes: 13 | Radical: 167 | Freq: #1710<br><br><b>Heisig:</b> RTK: #794 | RTK6: #857,grade8
於,<b>Meanings:</b> at; in; on; as for<br><br><b>On'yomi:</b> オ; ヨ<br><br><b>Kun'yomi:</b> おい.て; お.ける; ああ; より<br><br><b>Stats:</b> Strokes: 8 | Radical: 70 | Freq: #2113<br><br><b>Heisig:</b> RTK: #2900 | RTK6: #2909,grade9
凹,<b>Meanings:</b> concave; hollow; sunken<br><br><b>On'yomi:</b> オウ<br><br><b>Kun'yomi:</b> くぼ.む; へこ.む; ぼこ<br><br><b>Stats:</b> Strokes: 5 | Radical: 17 | Freq: #2206<br><br><b>Heisig:</b> RTK: #33 | RTK6: #33,grade8
往,<b>Meanings:</b> journey; travel; chase away; let go; going; before; formerly<br><br><b>On'yomi:</b> オウ<br><br><b>Kun'yomi:</b> い.く; いにしえ; さき.に; ゆ.く<br><br><b>Name readings:</b> みち<br><br><b>Stats:</b> Strokes: 8 | Radical: 60 | Freq: #1421<br><br><b>Heisig:</b> RTK: #880 | RTK6: #945,grade5
旺,<b>Meanings:</b> flourishing; successful; beautiful; vigorous<br><br><b>On'yomi:</b> オウ<br><br><b>Kun'yomi:</b> さかん<br><br><b>Stats:</b> Strokes: 8 | Radical: 72 | Freq: #2342<br><br><b>Heisig:</b> RTK: #2450 | RTK6: #278,grade8
殴,<b>Meanings:</b> assault; hit; beat; thrash<br><br><b>On'yomi:</b> オウ<br><br><b>Kun'yomi:</b> なぐ.る<br><br><b>Stats:</b> Strokes: 8 | Radical: 79 | Freq: #1622<br><br><b>Heisig:</b> RTK: #1698 | RTK6: #1833,grade8
翁,<b>Meanings:</b> venerable old man<br><br><b>On'yomi:</b> オウ<br><br><b>Kun'yomi:</b> おきな<br><br><b>Name readings:</b> お; おな<br><br><b>Stats:</b> Strokes: 10 | Radical: 124 | Freq: #2064<br><br><b>Heisig:</b> RTK: #786 | RTK6: #849,grade8
沖,<b>Meanings:</b> open sea; offing; rise high into sky<br><br><b>On'yomi:</b> チュウ<br><br><b>Kun'yomi:</b> おき; おきつ; ちゅう.する; わく<br><br><b>Stats:</b> Strokes: 7 | Radical: 85 | Freq: #929<br><br><b>Heisig:</b> RTK: #138 | RTK6: #146,grade4
憶,<b>Meanings:</b> recollection; think; remember<br><br><b>On'yomi:</b> オク<br><br><b>Stats:</b> Strokes: 16 | Radical: 61 | Freq: #1324<br><br><b>Heisig:</b> RTK: #632 | RTK6: #679,grade8
